FROM,TO,TYPE,WEIGHT
ATM_060,ATM_061,Undirected,2
ATM_091,ATM_121,Undirected,638
ATM_064,ATM_062,Undirected,131
ATM_057,ATM_058,Undirected,2
ATM_081,ATM_083,Undirected,327
ATM_045,ATM_047,Undirected,20
ATM_092,ATM_095,Undirected,2
ATM_065,ATM_042,Undirected,656
ATM_065,ATM_070,Undirected,1140
ATM_100,ATM_101,Undirected,1
ATM_034,ATM_035,Undirected,2
ATM_109,ATM_063,Undirected,607
ATM_031,ATM_032,Undirected,2
ATM_049,ATM_050,Undirected,2
ATM_086,ATM_085,Undirected,412
ATM_119,ATM_089,Undirected,955
ATM_082,ATM_086,Undirected,209
ATM_112,ATM_064,Undirected,256
ATM_056,ATM_054,Undirected,170
ATM_020,ATM_094,Undirected,81
ATM_104,ATM_107,Undirected,117
ATM_062,ATM_112,Undirected,146
ATM_079,ATM_116,Undirected,39
ATM_117,ATM_120,Undirected,1229
ATM_092,ATM_094,Undirected,1
ATM_060,ATM_062,Undirected,311
ATM_012,ATM_013,Undirected,5
ATM_078,ATM_119,Undirected,717
ATM_102,ATM_101,Undirected,159
ATM_001,ATM_003,Undirected,134
ATM_049,ATM_109,Undirected,97
ATM_074,ATM_113,Undirected,640
ATM_061,ATM_112,Undirected,186
ATM_075,ATM_077,Undirected,163
ATM_027,ATM_103,Undirected,130
ATM_025,ATM_097,Undirected,100
ATM_038,ATM_039,Undirected,273
ATM_020,ATM_095,Undirected,81
ATM_102,ATM_019,Undirected,154
ATM_045,ATM_035,Undirected,136
ATM_043,ATM_041,Undirected,114
ATM_007,ATM_021,Undirected,771
ATM_104,ATM_059,Undirected,571
ATM_092,ATM_093,Undirected,1
ATM_047,ATM_048,Undirected,5
ATM_029,ATM_106,Undirected,164
ATM_066,ATM_057,Undirected,737
ATM_022,ATM_023,Undirected,177
ATM_088,ATM_118,Undirected,39
ATM_026,ATM_028,Undirected,316
